Date,Open,High,Low,Close,Adj Close,Volume
2018-05-22,52.869999,53.060001,51.869999,52.340000,50.873646,20491700
2018-05-23,51.799999,52.240002,51.250000,51.939999,50.484852,15703000
2018-05-24,51.320000,53.000000,51.259998,52.459999,50.990284,14500200
2018-05-25,52.580002,52.790001,51.049999,51.480000,50.037739,13141500
2018-05-28,50.900002,52.459999,50.709999,51.070000,49.639229,13832600
2018-05-29,51.970001,52.060001,49.990002,50.160000,48.754723,18697800
2018-05-30,50.209999,51.349998,49.700001,50.630001,49.211555,25861400
2018-06-01,50.900002,53.080002,50.650002,52.759998,51.281879,20424100
2018-06-04,53.180000,53.450001,51.759998,52.520000,51.048603,13964100
2018-06-05,52.500000,54.000000,52.500000,53.730000,52.224705,16988600
2018-06-06,54.500000,56.230000,54.490002,56.070000,54.499149,26835500
2018-06-07,56.459999,56.750000,53.070000,54.369999,52.846775,32389900
2018-06-08,53.990002,53.990002,50.660000,50.889999,49.464272,30421100
2018-06-11,51.369999,52.000000,50.590000,50.849998,49.425388,14362000
2018-06-12,50.500000,52.360001,50.160000,51.700001,50.251579,18403200
2018-06-13,51.980000,52.240002,50.730000,51.549999,50.105778,15599000
2018-06-14,51.869999,51.889999,50.750000,51.709999,50.261295,18827200
2018-06-15,51.400002,51.439999,48.700001,49.130001,47.753578,36611400
2018-06-18,48.619999,49.290001,47.860001,49.209999,47.831337,20490400
2018-06-19,47.700001,48.750000,47.029999,48.299999,46.946831,26764800
2018-06-20,49.049999,49.080002,48.070000,48.810001,47.442543,14448400
2018-06-21,48.509998,49.200001,47.040001,47.209999,45.887367,13952800
2018-06-22,48.150002,48.470001,47.480000,48.009998,46.664955,9632500
2018-06-25,47.700001,47.799999,46.259998,47.160000,45.838768,13800400
2018-06-26,47.500000,48.340000,46.630001,48.340000,46.985710,15460100
2018-06-27,48.480000,49.279999,47.900002,48.150002,46.801037,14471100
2018-06-28,47.849998,49.439999,47.500000,49.070000,47.695259,16298400
2018-06-29,49.700001,50.099998,49.049999,49.590000,48.200691,12248000
2018-07-02,48.889999,49.189999,48.520000,48.759998,47.393944,8222800
2018-07-03,49.299999,49.490002,47.959999,47.959999,46.616356,11486600
2018-07-04,48.169998,48.369999,47.599998,48.029999,46.684395,6147000
2018-07-05,48.549999,49.770000,48.310001,49.700001,48.307610,12179600
2018-07-06,49.790001,50.439999,49.389999,50.340000,48.929680,8582200
2018-07-10,50.700001,51.099998,49.349998,49.529999,48.142372,10935700
2018-07-11,48.500000,49.099998,48.450001,48.860001,47.491142,12912600
2018-07-12,49.349998,50.669998,48.959999,50.450001,49.036598,20765500
2018-07-13,50.599998,50.889999,49.930000,50.310001,48.900520,15555400
2018-07-16,50.310001,50.599998,49.599998,50.000000,48.599205,12550000
2018-07-17,50.130001,51.020000,49.700001,50.700001,49.279594,11553600
2018-07-18,51.150002,51.669998,50.820000,51.450001,50.008583,9762900
2018-07-19,50.709999,50.750000,49.060001,49.430000,48.045174,20977000
2018-07-20,49.590000,49.860001,48.630001,48.720001,47.355064,16788900
2018-07-23,49.080002,50.130001,48.529999,49.599998,48.210411,8554600
2018-07-24,51.919998,52.389999,51.310001,51.310001,49.872505,20910300
2018-07-25,51.459999,51.750000,50.740002,51.750000,50.300175,15263700
2018-07-26,52.470001,53.180000,52.400002,52.779999,51.301319,54299500
2018-07-27,53.480000,53.669998,53.250000,53.450001,51.952549,21543400
2018-07-30,53.700001,54.349998,53.560001,54.330002,52.807896,15527200
2018-07-31,54.200001,54.980000,54.049999,54.840000,53.303608,15921000
2018-08-01,53.400002,53.770000,53.020000,53.060001,51.573479,36906000
2018-08-02,52.090000,53.090000,51.500000,52.840000,51.359638,19796400
2018-08-03,52.310001,52.939999,51.330002,52.549999,52.549999,15607700
2018-08-06,52.099998,52.910000,52.000000,52.400002,52.400002,11904900
2018-08-07,53.389999,53.650002,52.630001,52.750000,52.750000,19065600
2018-08-08,53.299999,53.330002,52.259998,52.400002,52.400002,13076000
2018-08-09,52.500000,53.040001,51.730000,51.840000,51.840000,12752800
2018-08-10,51.410000,51.910000,50.720001,51.709999,51.709999,14630800
2018-08-13,52.070000,52.689999,51.740002,52.279999,52.279999,14720600
2018-08-14,52.099998,52.910000,51.770000,52.759998,52.759998,17475600
2018-08-15,51.599998,51.980000,50.349998,50.410000,50.410000,26625700
2018-08-16,50.900002,51.029999,49.630001,49.720001,49.720001,20125600
2018-08-17,49.529999,51.189999,49.230000,50.799999,50.799999,17343200
2018-08-20,51.099998,51.770000,51.040001,51.439999,51.439999,14783600
2018-08-21,51.160000,52.099998,51.020000,51.730000,51.730000,13378300
2018-08-22,51.650002,53.299999,51.630001,53.299999,53.299999,13073500
2018-08-23,53.099998,53.520000,52.650002,53.349998,53.349998,12263000
2018-08-24,53.599998,54.459999,53.549999,54.150002,54.150002,10971100
2018-08-27,54.169998,55.669998,54.169998,55.669998,55.669998,11205300
2018-08-28,55.930000,56.410000,55.070000,55.650002,55.650002,17875600
2018-08-29,55.250000,56.160000,55.139999,55.220001,55.220001,10292800
2018-08-30,55.299999,55.889999,54.400002,54.570000,54.570000,14432500
2018-08-31,54.520000,54.799999,53.310001,53.619999,53.619999,15000000
2018-09-03,53.299999,54.169998,53.209999,54.049999,54.049999,4356600
2018-09-04,53.599998,53.790001,52.000000,52.000000,52.000000,10521800
2018-09-05,52.080002,52.639999,51.750000,52.150002,52.150002,7100000
2018-09-06,52.790001,53.869999,52.400002,53.480000,53.480000,12479400
2018-09-10,53.910000,54.040001,52.959999,53.220001,53.220001,9341300
2018-09-11,52.610001,52.990002,52.130001,52.590000,52.590000,10347800
2018-09-12,53.000000,53.709999,52.180000,53.450001,53.450001,14230800
2018-09-13,53.700001,54.430000,53.520000,53.779999,53.779999,14353500
2018-09-14,54.099998,55.230000,54.049999,55.200001,55.200001,17021500
2018-09-17,55.299999,55.570000,54.790001,55.040001,55.040001,12096900
2018-09-18,55.630001,57.470001,55.509998,57.340000,57.340000,20647900
2018-09-19,57.610001,58.939999,57.529999,58.580002,58.580002,12451900
2018-09-20,59.209999,59.610001,58.430000,59.320000,59.320000,11264600
2018-09-21,59.889999,61.009998,59.599998,61.009998,61.009998,23057600
2018-09-24,60.849998,61.250000,60.150002,60.200001,60.200001,9008600
2018-09-25,60.000000,62.220001,59.860001,62.200001,62.200001,16840000
2018-09-26,62.200001,62.419998,59.750000,60.009998,60.009998,24600600
2018-09-27,60.220001,60.750000,58.610001,59.480000,59.480000,20631400
2018-09-28,58.849998,60.290001,58.849998,59.820000,59.820000,14753000
2018-10-01,59.680000,60.570000,59.080002,60.400002,60.400002,8976500
2018-10-02,60.869999,61.740002,60.480000,61.200001,61.200001,20530200
2018-10-03,62.009998,62.189999,59.320000,59.950001,59.950001,26674700
2018-10-04,59.990002,60.340000,58.669998,58.799999,58.799999,14396500
2018-10-05,57.849998,58.310001,57.230000,57.490002,57.490002,20202600
2018-10-08,57.000000,57.570000,55.259998,57.049999,57.049999,26384200
2018-10-09,57.400002,58.320000,56.720001,57.700001,57.700001,17830500
2018-10-10,57.380001,58.139999,55.889999,55.889999,55.889999,14135900
2018-10-11,56.439999,57.160000,55.619999,56.480000,56.480000,15976400
2018-10-15,56.950001,58.450001,56.840000,57.669998,57.669998,16290900
2018-10-16,57.939999,58.849998,57.250000,57.700001,57.700001,15825800
2018-10-17,58.340000,58.919998,57.750000,58.799999,58.799999,21832000
2018-10-18,58.849998,58.849998,56.320000,56.500000,56.500000,17237800
2018-10-19,57.099998,57.529999,56.360001,56.529999,56.529999,13429700
2018-10-22,57.700001,58.419998,57.029999,58.369999,58.369999,14084400
2018-10-23,57.310001,57.549999,56.000000,56.750000,56.750000,20763100
2018-10-24,57.400002,57.590000,54.430000,54.430000,54.430000,17954800
2018-10-25,55.970001,56.040001,53.799999,54.610001,54.610001,29494700
2018-10-26,54.900002,55.889999,53.509998,55.599998,55.599998,26630300
2018-10-29,54.029999,54.389999,52.599998,53.099998,53.099998,26198300
2018-10-30,53.599998,54.849998,52.959999,53.869999,53.869999,23799200
2018-10-31,54.349998,56.709999,54.270000,56.709999,56.709999,26626000
2018-11-01,56.750000,58.259998,55.520000,57.500000,57.500000,20420000
2018-11-05,57.610001,58.000000,57.040001,57.529999,57.529999,15491800
2018-11-06,57.000000,57.849998,56.560001,57.230000,57.230000,11211000
2018-11-07,57.790001,58.150002,57.400002,57.590000,57.590000,12982500
2018-11-08,57.779999,58.770000,57.020000,57.020000,57.020000,16743700
2018-11-09,56.500000,57.000000,54.130001,54.650002,54.650002,29209700
2018-11-12,55.099998,55.450001,54.400002,54.849998,54.849998,15985200
2018-11-13,54.900002,56.270000,54.349998,56.270000,56.270000,18790200
2018-11-14,55.209999,55.669998,54.250000,55.160000,55.160000,28360900
2018-11-16,55.849998,56.349998,55.150002,56.150002,56.150002,19633700
2018-11-19,56.150002,56.279999,54.810001,55.369999,55.369999,12979700
2018-11-21,54.150002,54.549999,53.709999,54.529999,54.529999,18590600
2018-11-22,54.689999,54.720001,53.750000,54.040001,54.040001,9255400
2018-11-23,53.389999,53.389999,50.349998,50.349998,50.349998,33531500
2018-11-26,49.950001,51.090000,49.000000,50.119999,50.119999,30327300
2018-11-27,49.689999,50.490002,49.099998,49.919998,49.919998,25582700
2018-11-28,50.500000,52.320000,50.220001,52.299999,52.299999,29038300
2018-11-29,51.919998,52.730000,51.130001,52.000000,52.000000,23362000
2018-11-30,51.560001,53.689999,51.560001,52.799999,52.799999,29502000
2018-12-03,55.599998,55.680000,53.740002,54.110001,54.110001,32418200
2018-12-04,54.349998,54.520000,52.500000,52.880001,52.880001,26844200
2018-12-05,53.299999,53.480000,52.430000,52.799999,52.799999,9656100
2018-12-06,51.700001,52.599998,51.070000,52.299999,52.299999,21376400
2018-12-07,52.480000,53.259998,51.090000,51.290001,51.290001,19472100
2018-12-10,51.119999,51.639999,50.189999,50.200001,50.200001,14331300
2018-12-11,51.150002,51.740002,50.250000,50.599998,50.599998,19443900
2018-12-12,51.150002,51.400002,50.349998,50.369999,50.369999,15808900
2018-12-13,50.849998,51.279999,50.250000,50.599998,50.599998,15149000
2018-12-14,50.380001,51.189999,49.849998,50.880001,50.880001,16910700
2018-12-17,51.900002,52.270000,51.029999,51.250000,51.250000,21401300
